SimTime	Autoindex	Register	Registerwert
2	0	CANvelocity	6.3098
2	0	CANlaneid	0
3	0	CANvelocity	13.1763
3	0	CANlaneid	0
4	0	CANvelocity	18.7371
4	0	CANlaneid	0
4	1	CANvelocity	0.965014
4	1	CANlaneid	0
5	0	CANvelocity	26.6391
5	0	CANlaneid	0
5	1	CANvelocity	8.93479
5	1	CANlaneid	0
6	0	CANvelocity	31.4769
6	0	CANlaneid	0
6	1	CANvelocity	17.5967
6	1	CANlaneid	0
7	0	CANvelocity	37.4438
7	0	CANlaneid	0
7	1	CANvelocity	24.4667
7	1	CANlaneid	0
7	2	CANvelocity	1.01069
7	2	CANlaneid	0
8	0	CANvelocity	44.1255
8	0	CANlaneid	0
8	1	CANvelocity	31.3223
8	1	CANlaneid	0
8	2	CANvelocity	7.16879
8	2	CANlaneid	0
9	0	CANvelocity	51.5826
9	0	CANlaneid	0
9	1	CANvelocity	36.8233
9	1	CANlaneid	0
9	2	CANvelocity	14.2543
9	2	CANlaneid	0
10	0	CANvelocity	56.6975
10	0	CANlaneid	0
10	1	CANvelocity	43.573
10	1	CANlaneid	0
10	2	CANvelocity	22.1149
10	2	CANlaneid	0
10	3	CANvelocity	2.15542
10	3	CANlaneid	0
11	0	CANvelocity	60.6356
11	0	CANlaneid	0
11	1	CANvelocity	47.8994
11	1	CANlaneid	0
11	2	CANvelocity	26.5815
11	2	CANlaneid	0
11	3	CANvelocity	9.45989
11	3	CANlaneid	0
12	0	CANvelocity	66.0471
12	0	CANlaneid	0
12	1	CANvelocity	54.5956
12	1	CANlaneid	0
12	2	CANvelocity	33.9388
12	2	CANlaneid	0
12	3	CANvelocity	17.2967
12	3	CANlaneid	0
13	0	CANvelocity	71.0907
13	0	CANlaneid	0
13	1	CANvelocity	58.9837
13	1	CANlaneid	0
13	2	CANvelocity	40.4824
13	2	CANlaneid	0
13	3	CANvelocity	24.0428
13	3	CANlaneid	0
13	4	CANvelocity	7.82136
13	4	CANlaneid	0
14	0	CANvelocity	76.5568
14	0	CANlaneid	0
14	1	CANvelocity	63.023
14	1	CANlaneid	0
14	2	CANvelocity	45.5709
14	2	CANlaneid	0
14	3	CANvelocity	29.1284
14	3	CANlaneid	0
14	4	CANvelocity	13.2003
14	4	CANlaneid	0
15	0	CANvelocity	82.1242
15	0	CANlaneid	0
15	1	CANvelocity	67.4371
15	1	CANlaneid	0
15	2	CANvelocity	50.3709
15	2	CANlaneid	0
15	3	CANvelocity	35.6527
15	3	CANlaneid	0
15	4	CANvelocity	20.9924
15	4	CANlaneid	0
15	5	CANvelocity	2.17596
15	5	CANlaneid	0
16	0	CANvelocity	87.6833
16	0	CANlaneid	0
16	1	CANvelocity	72.1288
16	1	CANlaneid	0
16	2	CANvelocity	55.9484
16	2	CANlaneid	0
16	3	CANvelocity	41.1928
16	3	CANlaneid	0
16	4	CANvelocity	29.4364
16	4	CANlaneid	0
16	5	CANvelocity	11.2623
16	5	CANlaneid	0
17	0	CANvelocity	92.9214
17	0	CANlaneid	0
17	1	CANvelocity	76.172
17	1	CANlaneid	0
17	2	CANvelocity	61.4274
17	2	CANlaneid	0
17	3	CANvelocity	46.2679
17	3	CANlaneid	0
17	4	CANvelocity	35.3863
17	4	CANlaneid	0
17	5	CANvelocity	18.8371
17	5	CANlaneid	0
18	0	CANvelocity	96.5978
18	0	CANlaneid	0
18	1	CANvelocity	80.9034
18	1	CANlaneid	0
18	2	CANvelocity	66.1675
18	2	CANlaneid	0
18	3	CANvelocity	52.239
18	3	CANlaneid	0
18	4	CANvelocity	41.2823
18	4	CANlaneid	0
18	5	CANvelocity	23.5989
18	5	CANlaneid	0
18	6	CANvelocity	4.76967
18	6	CANlaneid	0
19	0	CANvelocity	100.753
19	0	CANlaneid	0
19	1	CANvelocity	84.4822
19	1	CANlaneid	0
19	2	CANvelocity	72.6541
19	2	CANlaneid	0
19	3	CANvelocity	57.9431
19	3	CANlaneid	0
19	4	CANvelocity	45.4647
19	4	CANlaneid	0
19	5	CANvelocity	29.5548
19	5	CANlaneid	0
19	6	CANvelocity	11.9814
19	6	CANlaneid	0
20	0	CANvelocity	104.256
20	0	CANlaneid	0
20	1	CANvelocity	88.1592
20	1	CANlaneid	0
20	2	CANvelocity	78.9287
20	2	CANlaneid	0
20	3	CANvelocity	62.2946
20	3	CANlaneid	0
20	4	CANvelocity	52.063
20	4	CANlaneid	0
20	5	CANvelocity	36.8807
20	5	CANlaneid	0
20	6	CANvelocity	19.0077
20	6	CANlaneid	0
21	0	CANvelocity	107.737
21	0	CANlaneid	0
21	1	CANvelocity	93.4567
21	1	CANlaneid	0
21	2	CANvelocity	83.0614
21	2	CANlaneid	0
21	3	CANvelocity	68.8037
21	3	CANlaneid	0
21	4	CANvelocity	57.8799
21	4	CANlaneid	0
21	5	CANvelocity	42.5796
21	5	CANlaneid	0
21	6	CANvelocity	26.7077
21	6	CANlaneid	0
21	7	CANvelocity	8.30117
21	7	CANlaneid	0
22	0	CANvelocity	111.483
22	0	CANlaneid	0
22	1	CANvelocity	99.1602
22	1	CANlaneid	0
22	2	CANvelocity	88.1158
22	2	CANlaneid	0
22	3	CANvelocity	73.283
22	3	CANlaneid	0
22	4	CANvelocity	62.6062
22	4	CANlaneid	0
22	5	CANvelocity	46.8581
22	5	CANlaneid	0
22	6	CANvelocity	34.6662
22	6	CANlaneid	0
22	7	CANvelocity	16.7552
22	7	CANlaneid	0
23	0	CANvelocity	114.241
23	0	CANlaneid	0
23	1	CANvelocity	103.176
23	1	CANlaneid	0
